Localização;CodProduto;Data;Quantidade;Vendendor;idCliente
Brazil;P026;16/08/2021;67;5;167
Fiji;P009;16/08/2021;137;9;66
Russia;P008;16/08/2021;274;8;446
New Zealand;P006;16/08/2021;108;1;422
Paraguay;P043;16/08/2021;348;2;111
Canada;P042;16/08/2021;597;4;466
Uruguay;P025;16/08/2021;408;8;205
United Kingdom;P024;16/08/2021;168;6;268
Cuba;P038;16/08/2021;167;10;285
Honduras;P006;16/08/2021;103;5;40
Italy;P005;16/08/2021;371;2;173
Mongolia;P039;16/08/2021;213;2;163
Pakistan;P040;16/08/2021;230;6;392
Tanzania;P031;16/08/2021;134;6;302
Chile;P022;16/08/2021;115;2;136
Spain;P021;16/08/2021;469;2;414
South Africa;P035;16/08/2021;107;3;473
Paraguay;P003;16/08/2021;278;7;32
Canada;P002;16/08/2021;219;5;425
Algeria;P038;16/08/2021;251;4;375
Germany;P037;16/08/2021;271;7;25
Saudi Arabia;P039;16/08/2021;571;8;381
Iraq;P019;16/08/2021;399;4;89
Japan;P018;16/08/2021;56;6;192
Argentina;P037;16/08/2021;585;2;153
Indonesia;P053;16/08/2021;192;10;309
Niger;P042;16/08/2021;584;4;302
Ukraine;P035;16/08/2021;56;10;281
France;P034;16/08/2021;323;1;435
Malaysia;P048;16/08/2021;57;4;115
Peru;P016;16/08/2021;149;7;54
USA;P015;16/08/2021;542;9;367
Fiji;P051;16/08/2021;405;3;118
Russia;P050;16/08/2021;114;1;271
Nicaragua;P037;16/08/2021;564;10;122
Ecuador;P032;16/08/2021;577;3;83
Mexico;P031;16/08/2021;427;1;252
Yemen;P023;16/08/2021;205;10;213
Japan;P017;17/08/2021;491;10;375
Chile;P023;17/08/2021;71;5;248
Indonesia;P041;17/08/2021;155;9;318
Niger;P051;17/08/2021;352;2;425
Poland;P017;17/08/2021;538;2;62
France;P033;17/08/2021;417;10;202
New Zealand;P014;17/08/2021;74;9;369
Peru;P015;17/08/2021;284;8;430
USA;P014;17/08/2021;219;5;14
Fiji;P050;17/08/2021;250;10;486
Russia;P049;17/08/2021;104;4;41
Nicaragua;P036;17/08/2021;222;8;131
Ecuador;P031;17/08/2021;314;8;154
Mexico;P030;17/08/2021;434;1;149
Yemen;P022;17/08/2021;353;7;355
Indonesia;P012;17/08/2021;575;2;158
Guatemala;P004;17/08/2021;217;10;338
Honduras;P047;17/08/2021;251;10;176
Italy;P046;17/08/2021;410;8;363
Bolivia;P042;17/08/2021;138;6;279
Thailand;P028;17/08/2021;201;8;54
Brazil;P027;17/08/2021;417;10;8
Fiji;P010;17/08/2021;123;5;251
Russia;P009;17/08/2021;433;5;424
New Zealand;P007;17/08/2021;449;6;386
Paraguay;P044;17/08/2021;256;2;346
Canada;P043;17/08/2021;533;9;277
Uruguay;P026;17/08/2021;558;8;162
United Kingdom;P025;17/08/2021;120;5;25
Cuba;P039;17/08/2021;195;3;267
Honduras;P007;17/08/2021;101;1;433
Italy;P006;17/08/2021;225;2;480
Mongolia;P040;17/08/2021;347;7;175
Pakistan;P041;17/08/2021;255;8;296
Tanzania;P032;17/08/2021;255;3;64
Chile;P023;17/08/2021;56;3;250
Spain;P022;17/08/2021;159;5;358
Poland;P001;17/08/2021;121;3;50
Paraguay;P004;17/08/2021;261;6;289
Canada;P003;17/08/2021;147;10;232
Algeria;P039;17/08/2021;203;4;368
Germany;P038;17/08/2021;532;9;212
Saudi Arabia;P040;17/08/2021;259;2;101
Iraq;P020;17/08/2021;71;4;168
Japan;P019;17/08/2021;582;4;136
Argentina;P038;17/08/2021;325;10;206
Pakistan;P001;17/08/2021;53;5;308
Niger;P043;17/08/2021;463;9;391
Ukraine;P036;17/08/2021;196;4;137
France;P035;17/08/2021;363;9;188
Malaysia;P049;17/08/2021;480;8;191
Peru;P017;17/08/2021;418;8;231
USA;P016;17/08/2021;552;1;249
Fiji;P052;17/08/2021;277;8;237
Russia;P051;17/08/2021;50;1;357
Nicaragua;P038;17/08/2021;477;1;60
Ecuador;P033;17/08/2021;286;2;278
Mexico;P032;17/08/2021;524;8;335
Yemen;P024;17/08/2021;588;7;368
Japan;P018;18/08/2021;392;8;141
Chile;P024;18/08/2021;68;3;255
Indonesia;P042;18/08/2021;532;2;457
Niger;P052;18/08/2021;594;10;137
Poland;P018;18/08/2021;474;5;249
France;P034;18/08/2021;183;4;52
New Zealand;P015;18/08/2021;93;9;93
Peru;P016;18/08/2021;404;8;425
USA;P015;18/08/2021;302;2;402
Fiji;P051;18/08/2021;267;5;124
Russia;P050;18/08/2021;251;6;291
Nicaragua;P037;18/08/2021;160;4;273
Ecuador;P032;18/08/2021;351;6;275
Mexico;P031;18/08/2021;554;7;274
Yemen;P023;18/08/2021;466;2;357
Indonesia;P013;18/08/2021;579;1;231
Guatemala;P005;18/08/2021;65;3;156
Honduras;P048;18/08/2021;214;5;402
Italy;P047;18/08/2021;196;5;288
Bolivia;P043;18/08/2021;287;7;305
Thailand;P029;18/08/2021;189;5;352
Brazil;P028;18/08/2021;198;5;391
Fiji;P011;18/08/2021;487;6;410
Russia;P010;18/08/2021;235;5;177
New Zealand;P008;18/08/2021;471;2;228
Paraguay;P045;18/08/2021;235;9;82
Canada;P044;18/08/2021;269;9;105
Uruguay;P027;18/08/2021;121;5;357
United Kingdom;P026;18/08/2021;516;1;231
Cuba;P040;18/08/2021;221;1;220
Honduras;P008;18/08/2021;238;4;121
Italy;P007;18/08/2021;181;10;301
Mongolia;P041;18/08/2021;87;2;383
Pakistan;P042;18/08/2021;252;7;208
Tanzania;P033;18/08/2021;243;9;341
Chile;P024;18/08/2021;173;2;462
Spain;P023;18/08/2021;400;8;44
Poland;P002;18/08/2021;220;8;333
Paraguay;P005;18/08/2021;72;10;207
Canada;P004;18/08/2021;180;6;39
Algeria;P040;18/08/2021;250;10;390
Germany;P039;18/08/2021;533;3;350
Saudi Arabia;P041;18/08/2021;260;8;273
Iraq;P021;18/08/2021;308;3;264
Japan;P020;18/08/2021;369;10;454
Argentina;P039;18/08/2021;397;9;232
Pakistan;P002;18/08/2021;84;6;448
Niger;P044;18/08/2021;225;5;342
Ukraine;P037;18/08/2021;48;7;140
France;P036;18/08/2021;191;10;271
Malaysia;P050;18/08/2021;83;2;473
Peru;P018;18/08/2021;57;5;161
USA;P017;18/08/2021;491;1;360
Fiji;P053;18/08/2021;524;3;93
Russia;P052;18/08/2021;449;2;431
Nicaragua;P039;18/08/2021;164;6;141
Ecuador;P034;18/08/2021;481;2;495
Mexico;P033;18/08/2021;30;7;402
Yemen;P025;18/08/2021;467;2;219
Japan;P019;19/08/2021;137;10;422
Chile;P025;19/08/2021;392;9;181
Indonesia;P043;19/08/2021;122;3;473
Niger;P053;19/08/2021;539;1;228
Poland;P019;19/08/2021;534;9;261
France;P035;19/08/2021;446;6;499
New Zealand;P016;19/08/2021;94;6;454
Peru;P017;19/08/2021;279;5;203
USA;P016;19/08/2021;451;4;140
Fiji;P052;19/08/2021;154;8;145
Russia;P051;19/08/2021;132;10;417
Nicaragua;P038;19/08/2021;268;7;280
Ecuador;P033;19/08/2021;415;1;267
Mexico;P032;19/08/2021;388;5;190
Yemen;P024;19/08/2021;419;4;164
Indonesia;P014;19/08/2021;176;1;390
Guatemala;P006;19/08/2021;117;9;296
Honduras;P049;19/08/2021;253;9;32
Italy;P048;19/08/2021;260;8;227
Bolivia;P044;19/08/2021;213;7;485
Thailand;P030;19/08/2021;247;2;65
Brazil;P029;19/08/2021;231;7;236
Fiji;P012;19/08/2021;210;1;332
Russia;P011;19/08/2021;288;5;309
New Zealand;P009;19/08/2021;216;4;222
Paraguay;P046;19/08/2021;339;1;286
Canada;P045;19/08/2021;223;4;255
Uruguay;P028;19/08/2021;141;4;385
United Kingdom;P027;19/08/2021;246;1;458
Cuba;P041;19/08/2021;79;2;94
Honduras;P009;19/08/2021;288;5;208
Italy;P008;19/08/2021;405;9;319
Mongolia;P042;19/08/2021;191;1;65
Pakistan;P043;19/08/2021;250;4;301
Tanzania;P034;19/08/2021;237;10;118
Chile;P025;19/08/2021;145;1;130
Spain;P024;19/08/2021;222;9;281
Poland;P003;19/08/2021;119;5;319
Paraguay;P006;19/08/2021;237;4;190
Canada;P005;19/08/2021;199;8;166
Algeria;P041;19/08/2021;218;2;148
Germany;P040;19/08/2021;578;8;29
Saudi Arabia;P042;19/08/2021;544;10;490
Iraq;P022;19/08/2021;496;6;37
Japan;P021;19/08/2021;158;3;212
Argentina;P040;19/08/2021;99;5;469
Pakistan;P003;19/08/2021;71;10;76
Niger;P045;19/08/2021;35;3;227
Ukraine;P038;19/08/2021;321;3;341
France;P037;19/08/2021;426;8;440
Malaysia;P051;19/08/2021;118;2;191
Peru;P019;19/08/2021;469;10;288
USA;P018;19/08/2021;382;2;494
Algeria;P001;19/08/2021;15;2;312
Russia;P053;19/08/2021;598;2;299
Nicaragua;P040;19/08/2021;150;2;458
Ecuador;P035;19/08/2021;116;8;151
Mexico;P034;19/08/2021;181;3;258
Yemen;P026;19/08/2021;495;3;151
Japan;P020;20/08/2021;397;10;235
Chile;P026;20/08/2021;280;9;300
Indonesia;P044;20/08/2021;372;4;19
Algeria;P001;20/08/2021;227;5;478
Poland;P020;20/08/2021;257;6;496
France;P036;20/08/2021;182;1;210
New Zealand;P017;20/08/2021;68;5;134
Peru;P018;20/08/2021;273;4;312
USA;P017;20/08/2021;128;2;81
Fiji;P053;20/08/2021;376;8;49
Russia;P052;20/08/2021;196;5;405
Nicaragua;P039;20/08/2021;209;2;90
Ecuador;P034;20/08/2021;230;4;233
Mexico;P033;20/08/2021;263;10;193
Yemen;P025;20/08/2021;421;6;118
Indonesia;P015;20/08/2021;156;3;194
Guatemala;P007;20/08/2021;70;6;262
Honduras;P050;20/08/2021;155;9;255
Italy;P049;20/08/2021;470;8;447
Bolivia;P045;20/08/2021;62;5;369
Thailand;P031;20/08/2021;80;6;42
Brazil;P030;20/08/2021;187;10;22
Fiji;P013;20/08/2021;302;9;290
Russia;P012;20/08/2021;466;5;467
New Zealand;P010;20/08/2021;106;6;38
Paraguay;P047;20/08/2021;248;6;254
Canada;P046;20/08/2021;491;6;156
Uruguay;P029;20/08/2021;383;3;382
United Kingdom;P028;20/08/2021;372;6;330
Cuba;P042;20/08/2021;224;6;221
Honduras;P010;20/08/2021;153;7;293
Italy;P009;20/08/2021;142;6;248
Mongolia;P043;20/08/2021;254;6;124
Pakistan;P044;20/08/2021;196;2;401
China;P043;20/08/2021;342;9;132
Chile;P026;20/08/2021;239;7;311
Spain;P025;20/08/2021;233;1;48
Poland;P004;20/08/2021;207;7;371
Paraguay;P007;20/08/2021;214;9;285
Canada;P006;20/08/2021;464;5;49
Algeria;P042;20/08/2021;122;4;200
Germany;P041;20/08/2021;85;8;86
Saudi Arabia;P043;20/08/2021;202;4;85
Iraq;P023;20/08/2021;368;9;221
Japan;P022;20/08/2021;215;9;364
Argentina;P041;20/08/2021;194;7;377
Pakistan;P004;20/08/2021;499;1;72
Niger;P046;20/08/2021;403;4;215
Ukraine;P039;20/08/2021;595;5;281
France;P038;20/08/2021;160;9;189
Malaysia;P052;20/08/2021;52;10;219
Peru;P020;20/08/2021;347;1;113
USA;P019;20/08/2021;144;9;405
Algeria;P002;20/08/2021;64;10;368
Germany;P001;20/08/2021;387;1;484
Nicaragua;P041;20/08/2021;582;6;47
Ecuador;P036;20/08/2021;305;7;422
Mexico;P035;20/08/2021;279;8;338
Yemen;P027;20/08/2021;191;3;382
Japan;P023;23/08/2021;256;1;387
Chile;P029;23/08/2021;324;4;464
Indonesia;P047;23/08/2021;589;7;470
Algeria;P004;23/08/2021;56;4;102
Poland;P023;23/08/2021;569;2;223
France;P039;23/08/2021;415;2;157
New Zealand;P020;23/08/2021;20;10;321
Peru;P021;23/08/2021;168;3;296
USA;P020;23/08/2021;255;7;424
Algeria;P003;23/08/2021;74;7;79
Germany;P002;23/08/2021;448;6;395
Nicaragua;P042;23/08/2021;120;8;304
Ecuador;P037;23/08/2021;223;5;367
Mexico;P036;23/08/2021;467;9;333
Yemen;P028;23/08/2021;245;1;382
Indonesia;P018;23/08/2021;447;6;390
Guatemala;P010;23/08/2021;105;3;193
Honduras;P053;23/08/2021;212;7;488
Italy;P052;23/08/2021;406;8;141
Bolivia;P048;23/08/2021;110;4;84
Thailand;P034;23/08/2021;205;2;57
Brazil;P033;23/08/2021;385;9;479
Fiji;P016;23/08/2021;63;3;208
Russia;P015;23/08/2021;168;6;135
New Zealand;P013;23/08/2021;218;5;293
Paraguay;P050;23/08/2021;417;8;51
Canada;P049;23/08/2021;207;4;343
Uruguay;P032;23/08/2021;339;6;90
United Kingdom;P031;23/08/2021;411;2;271
Cuba;P045;23/08/2021;149;4;198
Honduras;P013;23/08/2021;120;1;46
Italy;P012;23/08/2021;439;9;434
Mongolia;P046;23/08/2021;157;8;170
Pakistan;P047;23/08/2021;317;1;185
China;P046;23/08/2021;267;7;27
Chile;P029;23/08/2021;270;4;442
Spain;P028;23/08/2021;404;6;219
Poland;P007;23/08/2021;224;5;116
Paraguay;P010;23/08/2021;281;2;85
Canada;P009;23/08/2021;45;10;65
Algeria;P045;23/08/2021;239;1;435
Germany;P044;23/08/2021;414;4;387
Venezuela;P029;23/08/2021;196;7;419
Iraq;P026;23/08/2021;21;7;377
Japan;P025;23/08/2021;495;7;285
Argentina;P044;23/08/2021;442;4;434
Pakistan;P007;23/08/2021;258;6;393
Niger;P049;23/08/2021;377;10;41
Ukraine;P042;23/08/2021;77;2;211
France;P041;23/08/2021;436;1;7
South Africa;P002;23/08/2021;326;8;100
Peru;P023;23/08/2021;183;9;250
USA;P022;23/08/2021;28;5;51
Algeria;P005;23/08/2021;253;2;363
Germany;P004;23/08/2021;574;3;208
Nicaragua;P044;23/08/2021;486;6;238
Ecuador;P039;23/08/2021;489;6;227
Mexico;P038;23/08/2021;52;10;225
Yemen;P030;23/08/2021;474;10;304
Japan;P024;24/08/2021;483;3;468
Chile;P030;24/08/2021;406;4;106
Indonesia;P048;24/08/2021;102;8;465
Algeria;P005;24/08/2021;588;7;255
Poland;P024;24/08/2021;296;4;90
France;P040;24/08/2021;352;9;458
New Zealand;P021;24/08/2021;52;2;70
Peru;P022;24/08/2021;359;10;428
USA;P021;24/08/2021;286;9;218
Algeria;P004;24/08/2021;240;3;267
Germany;P003;24/08/2021;102;2;407
Nicaragua;P043;24/08/2021;218;1;455
Ecuador;P038;24/08/2021;356;4;230
Mexico;P037;24/08/2021;359;8;15
Yemen;P029;24/08/2021;155;8;435
Indonesia;P019;24/08/2021;318;3;429
Guatemala;P011;24/08/2021;296;2;23
Ukraine;P001;24/08/2021;537;6;176
Italy;P053;24/08/2021;196;1;105
Bolivia;P049;24/08/2021;258;1;179
Thailand;P035;24/08/2021;461;5;5
Brazil;P034;24/08/2021;329;5;370
Fiji;P017;24/08/2021;231;3;474
Russia;P016;24/08/2021;216;9;118
New Zealand;P014;24/08/2021;237;8;384
Paraguay;P051;24/08/2021;413;2;16
Canada;P050;24/08/2021;221;6;460
Uruguay;P033;24/08/2021;458;4;179
United Kingdom;P032;24/08/2021;240;1;133
Cuba;P046;24/08/2021;163;10;249
Honduras;P014;24/08/2021;240;4;325
Italy;P013;24/08/2021;431;7;431
Mongolia;P047;24/08/2021;260;6;217
Pakistan;P048;24/08/2021;97;10;485
China;P047;24/08/2021;332;3;7
Chile;P030;24/08/2021;126;9;199
Spain;P029;24/08/2021;258;7;69
Poland;P008;24/08/2021;453;4;496
Paraguay;P011;24/08/2021;263;6;463
Canada;P010;24/08/2021;533;1;45
Algeria;P046;24/08/2021;237;10;42
Germany;P045;24/08/2021;355;4;455
Venezuela;P030;24/08/2021;179;3;256
Iraq;P027;24/08/2021;578;6;43
Japan;P026;24/08/2021;550;8;352
Argentina;P045;24/08/2021;127;4;317
Pakistan;P008;24/08/2021;592;6;456
Niger;P050;24/08/2021;372;2;251
Ukraine;P043;24/08/2021;337;5;408
France;P042;24/08/2021;94;9;251
South Africa;P003;24/08/2021;62;5;377
Peru;P024;24/08/2021;57;1;135
USA;P023;24/08/2021;558;3;220
Algeria;P006;24/08/2021;324;7;431
Germany;P005;24/08/2021;266;3;242
Nicaragua;P045;24/08/2021;213;3;254
Ecuador;P040;24/08/2021;296;2;380
Mexico;P039;24/08/2021;430;6;492
Yemen;P031;24/08/2021;120;8;120
Japan;P025;25/08/2021;468;2;159
Chile;P031;25/08/2021;263;2;94
Indonesia;P049;25/08/2021;281;2;287
Algeria;P006;25/08/2021;550;8;315
Poland;P025;25/08/2021;319;3;461
France;P041;25/08/2021;308;10;65
New Zealand;P022;25/08/2021;81;4;210
Peru;P023;25/08/2021;214;7;127
USA;P022;25/08/2021;259;5;76
Algeria;P005;25/08/2021;72;4;326
Germany;P004;25/08/2021;253;3;80
Nicaragua;P044;25/08/2021;349;2;149
Ecuador;P039;25/08/2021;394;6;370
Mexico;P038;25/08/2021;291;9;342
Yemen;P030;25/08/2021;422;7;500
Indonesia;P020;25/08/2021;372;6;48
Guatemala;P012;25/08/2021;128;2;336
Ukraine;P002;25/08/2021;332;1;484
France;P001;25/08/2021;427;9;216
Bolivia;P050;25/08/2021;251;10;275
Thailand;P036;25/08/2021;302;8;90
Brazil;P035;25/08/2021;183;8;335
Fiji;P018;25/08/2021;386;7;124
Russia;P017;25/08/2021;301;5;163
New Zealand;P015;25/08/2021;243;1;4
Paraguay;P052;25/08/2021;307;9;199
Canada;P051;25/08/2021;470;5;467
Uruguay;P034;25/08/2021;536;10;34
United Kingdom;P033;25/08/2021;592;8;198
Cuba;P047;25/08/2021;69;4;118
Honduras;P015;25/08/2021;71;1;263
Italy;P014;25/08/2021;443;2;281
Mongolia;P048;25/08/2021;244;10;463
Pakistan;P049;25/08/2021;193;9;486
China;P048;25/08/2021;90;2;139
Chile;P031;25/08/2021;144;4;499
Spain;P030;25/08/2021;412;8;7
Poland;P009;25/08/2021;380;7;263
Paraguay;P012;25/08/2021;182;7;336
Canada;P011;25/08/2021;561;1;215
Algeria;P047;25/08/2021;91;1;149
Germany;P046;25/08/2021;553;8;444
Venezuela;P031;25/08/2021;261;1;135
Iraq;P028;25/08/2021;143;2;366
Japan;P027;25/08/2021;458;2;402
Argentina;P046;25/08/2021;25;8;465
Pakistan;P009;25/08/2021;211;3;325
Niger;P051;25/08/2021;183;5;16
Ukraine;P044;25/08/2021;17;7;9
France;P043;25/08/2021;290;9;411
South Africa;P004;25/08/2021;490;8;118
Peru;P025;25/08/2021;127;9;138
USA;P024;25/08/2021;365;6;409
Algeria;P007;25/08/2021;51;2;239
Germany;P006;25/08/2021;412;7;235
Nicaragua;P046;25/08/2021;391;3;221
Ecuador;P041;25/08/2021;138;10;389
Mexico;P040;25/08/2021;218;9;52
Yemen;P032;25/08/2021;248;6;460
Japan;P026;26/08/2021;535;5;245
Chile;P032;26/08/2021;530;9;264
Indonesia;P050;26/08/2021;348;1;448
Algeria;P007;26/08/2021;381;4;316
Poland;P026;26/08/2021;319;7;270
France;P042;26/08/2021;296;1;305
New Zealand;P023;26/08/2021;34;8;15
Peru;P024;26/08/2021;167;5;61
USA;P023;26/08/2021;257;10;398
Algeria;P006;26/08/2021;287;9;125
Germany;P005;26/08/2021;395;7;209
Nicaragua;P045;26/08/2021;440;6;452
Ecuador;P040;26/08/2021;397;5;460
Mexico;P039;26/08/2021;252;5;324
Yemen;P031;26/08/2021;439;1;115
Indonesia;P021;26/08/2021;243;8;293
Guatemala;P013;26/08/2021;210;8;89
Ukraine;P003;26/08/2021;543;5;90
France;P002;26/08/2021;351;10;261
Bolivia;P051;26/08/2021;235;3;227
Thailand;P037;26/08/2021;130;8;96
Brazil;P036;26/08/2021;248;7;128
Fiji;P019;26/08/2021;387;9;40
Russia;P018;26/08/2021;210;3;130
New Zealand;P016;26/08/2021;105;8;143
Paraguay;P053;26/08/2021;441;2;136
Canada;P052;26/08/2021;596;9;364
Uruguay;P035;26/08/2021;418;8;360
United Kingdom;P034;26/08/2021;336;1;176
Cuba;P048;26/08/2021;75;9;260
Honduras;P016;26/08/2021;261;6;202
Italy;P015;26/08/2021;200;1;248
Mongolia;P049;26/08/2021;309;4;228
Pakistan;P050;26/08/2021;52;4;276
China;P049;26/08/2021;212;5;344
Chile;P032;26/08/2021;175;9;472
Spain;P031;26/08/2021;439;3;161
Poland;P010;26/08/2021;423;4;437
Paraguay;P013;26/08/2021;263;4;470
Canada;P012;26/08/2021;180;7;31
Algeria;P048;26/08/2021;83;3;114
Germany;P047;26/08/2021;250;5;99
Venezuela;P032;26/08/2021;104;1;170
Iraq;P029;26/08/2021;371;4;483
Japan;P028;26/08/2021;170;10;294
Argentina;P047;26/08/2021;11;10;87
Pakistan;P010;26/08/2021;31;2;447
Niger;P052;26/08/2021;49;10;431
Ukraine;P045;26/08/2021;319;5;221
France;P044;26/08/2021;531;8;349
South Africa;P005;26/08/2021;259;8;208
Peru;P026;26/08/2021;517;7;326
USA;P025;26/08/2021;209;5;21
Algeria;P008;26/08/2021;65;6;368
Germany;P007;26/08/2021;387;3;51
Nicaragua;P047;26/08/2021;472;5;57
Ecuador;P042;26/08/2021;12;1;299
Mexico;P041;26/08/2021;44;9;266
Yemen;P033;26/08/2021;470;3;246
Japan;P027;27/08/2021;394;7;277
Chile;P033;27/08/2021;194;7;366
Indonesia;P051;27/08/2021;175;9;310
Algeria;P008;27/08/2021;550;7;458
Poland;P027;27/08/2021;582;10;212
France;P043;27/08/2021;235;6;270
New Zealand;P024;27/08/2021;66;4;428
Peru;P025;27/08/2021;187;3;169
USA;P024;27/08/2021;275;7;342
Algeria;P007;27/08/2021;57;5;345
Germany;P006;27/08/2021;212;4;269
Nicaragua;P046;27/08/2021;376;4;48
Ecuador;P041;27/08/2021;209;6;124
Mexico;P040;27/08/2021;450;3;240
Yemen;P032;27/08/2021;564;10;338
Indonesia;P022;27/08/2021;398;2;10
Guatemala;P014;27/08/2021;120;5;297
Ukraine;P004;27/08/2021;412;7;69
France;P003;27/08/2021;309;10;317
Bolivia;P052;27/08/2021;133;8;113
Thailand;P038;27/08/2021;448;3;193
Brazil;P037;27/08/2021;309;6;58
Fiji;P020;27/08/2021;272;8;35
Russia;P019;27/08/2021;133;5;247
New Zealand;P017;27/08/2021;319;10;245
Ecuador;P001;27/08/2021;149;5;354
Canada;P053;27/08/2021;191;1;376
Uruguay;P036;27/08/2021;451;2;217
United Kingdom;P035;27/08/2021;276;4;358
Cuba;P049;27/08/2021;108;6;145
Honduras;P017;27/08/2021;190;3;104
Italy;P016;27/08/2021;213;7;150
Mongolia;P050;27/08/2021;329;3;366
Pakistan;P051;27/08/2021;336;5;390
China;P050;27/08/2021;262;5;487
Chile;P033;27/08/2021;143;2;349
Spain;P032;27/08/2021;60;4;482
Poland;P011;27/08/2021;180;9;306
Paraguay;P014;27/08/2021;267;5;433
Canada;P013;27/08/2021;36;10;434
Algeria;P049;27/08/2021;196;10;182
Germany;P048;27/08/2021;117;4;204
Venezuela;P033;27/08/2021;225;7;150
Iraq;P030;27/08/2021;88;5;48
Japan;P029;27/08/2021;82;5;478
Argentina;P048;27/08/2021;537;2;424
Pakistan;P011;27/08/2021;363;1;19
Niger;P053;27/08/2021;152;3;190
Ukraine;P046;27/08/2021;360;8;31
France;P045;27/08/2021;339;4;217
South Africa;P006;27/08/2021;373;8;281
Peru;P027;27/08/2021;135;2;9
USA;P026;27/08/2021;165;10;463
Algeria;P009;27/08/2021;163;7;147
Germany;P008;27/08/2021;404;8;389
Nicaragua;P048;27/08/2021;384;8;134
Ecuador;P043;27/08/2021;252;2;357
Mexico;P042;27/08/2021;150;9;440
Yemen;P034;27/08/2021;169;2;449
Japan;P030;30/08/2021;228;4;335
Chile;P036;30/08/2021;533;5;65
Ukraine;P001;30/08/2021;87;4;453
Algeria;P011;30/08/2021;350;5;108
Poland;P030;30/08/2021;569;9;216
France;P046;30/08/2021;347;10;108
New Zealand;P027;30/08/2021;61;7;479
Peru;P028;30/08/2021;164;5;268
USA;P027;30/08/2021;282;10;245
Algeria;P010;30/08/2021;274;2;215
Germany;P009;30/08/2021;206;10;202
Nicaragua;P049;30/08/2021;344;5;109
Ecuador;P044;30/08/2021;110;7;184
Mexico;P043;30/08/2021;226;6;106
Yemen;P035;30/08/2021;506;7;153
Indonesia;P025;30/08/2021;250;10;245
Guatemala;P017;30/08/2021;185;3;457
Ukraine;P007;30/08/2021;202;4;126
France;P006;30/08/2021;403;5;173
Malaysia;P002;30/08/2021;235;3;154
Thailand;P041;30/08/2021;50;2;265
Brazil;P040;30/08/2021;127;2;106
Fiji;P023;30/08/2021;368;3;28
Russia;P022;30/08/2021;350;5;369
New Zealand;P020;30/08/2021;232;10;392
Ecuador;P004;30/08/2021;165;1;469
Mexico;P003;30/08/2021;505;7;131
Uruguay;P039;30/08/2021;328;3;213
United Kingdom;P038;30/08/2021;439;3;279
Cuba;P052;30/08/2021;224;1;459
Honduras;P020;30/08/2021;236;2;216
Italy;P019;30/08/2021;207;4;474
Mongolia;P053;30/08/2021;74;9;199
Thailand;P001;30/08/2021;66;10;353
China;P053;30/08/2021;336;10;489
Chile;P036;30/08/2021;101;1;470
Spain;P035;30/08/2021;201;7;119
Poland;P014;30/08/2021;186;10;306
Paraguay;P017;30/08/2021;143;2;122
Canada;P016;30/08/2021;268;2;26
Algeria;P052;30/08/2021;227;6;149
Germany;P051;30/08/2021;358;5;283
Venezuela;P036;30/08/2021;261;9;107
Iraq;P033;30/08/2021;341;5;242
Japan;P032;30/08/2021;525;7;334
Argentina;P051;30/08/2021;31;10;19
Pakistan;P014;30/08/2021;111;7;53
Nepal;P022;30/08/2021;238;4;208
Ukraine;P049;30/08/2021;243;5;17
France;P048;30/08/2021;176;8;442
South Africa;P009;30/08/2021;148;9;238
Peru;P030;30/08/2021;53;7;421
USA;P029;30/08/2021;532;3;289
Algeria;P012;30/08/2021;201;1;387
Germany;P011;30/08/2021;290;6;359
Nicaragua;P051;30/08/2021;396;9;276
Ecuador;P046;30/08/2021;423;7;225
Mexico;P045;30/08/2021;71;7;129
Yemen;P037;30/08/2021;497;8;138
Japan;P031;31/08/2021;491;1;416
Chile;P037;31/08/2021;114;10;249
Ukraine;P002;31/08/2021;389;6;398
Algeria;P012;31/08/2021;558;9;141
Poland;P031;31/08/2021;242;10;150
France;P047;31/08/2021;371;2;298
New Zealand;P028;31/08/2021;26;6;60
Peru;P029;31/08/2021;234;5;215
USA;P028;31/08/2021;422;1;306
Algeria;P011;31/08/2021;218;3;454
Germany;P010;31/08/2021;150;7;97
Nicaragua;P050;31/08/2021;305;4;442
Ecuador;P045;31/08/2021;178;3;289
Mexico;P044;31/08/2021;193;3;183
Yemen;P036;31/08/2021;354;3;424
Indonesia;P026;31/08/2021;233;1;437
Guatemala;P018;31/08/2021;202;4;43
Ukraine;P008;31/08/2021;587;6;438
France;P007;31/08/2021;377;5;331
Malaysia;P003;31/08/2021;191;7;166
Thailand;P042;31/08/2021;52;5;298
Brazil;P041;31/08/2021;253;3;171
Fiji;P024;31/08/2021;54;10;246
Russia;P023;31/08/2021;137;2;466
New Zealand;P021;31/08/2021;179;6;141
Ecuador;P005;31/08/2021;191;2;224
Mexico;P004;31/08/2021;301;9;330
Uruguay;P040;31/08/2021;145;1;334
United Kingdom;P039;31/08/2021;590;8;175
Cuba;P053;31/08/2021;93;10;74
Honduras;P021;31/08/2021;290;9;84
Italy;P020;31/08/2021;162;4;315
Bolivia;P001;31/08/2021;212;2;22
Thailand;P002;31/08/2021;245;2;219
Brazil;P001;31/08/2021;130;7;227
Chile;P037;31/08/2021;290;3;286
Spain;P036;31/08/2021;483;7;406
Poland;P015;31/08/2021;103;1;18
Paraguay;P018;31/08/2021;54;7;175
Canada;P017;31/08/2021;169;8;240
